Date,Address,lat,lon,Killed,Injured
12/21/14,"600 block of Escanba, Calumet City, Illinois",41.618084,-87.553206,1,8
12/22/14,"191 Lake Road, Webster, New York",43.236828,-77.5255331,3,2
12/22/14,"Charlevoix and Philip, Detroit, Michigan",42.38358,-82.9486464,1,3
12/22/14,"5700 block of South Green Street, Chicago, Illinois",41.790482,-87.646624,0,5
12/23/14,"260 Oxford Drive, Winchester, Kentucky",38.0030814,-84.2089874,1,3
12/24/14,"18th and Pine, Saint Louis, Missouri",38.630663,-90.2059421,1,3
12/26/14,"2500 block of Summit Avenue, East St. Louis, Illinois",38.6196182,-90.1254163,1,3
12/27/14,"8800 block of South Figueroa Street, Los Angeles, California",33.9573722,-118.2827122,1,3
12/29/14,"Poydras and Bolivar, New Orleans, Louisiana",29.9542981,-90.0839102,0,4
12/31/14,"81st Street and Western Avenue, Los Angeles, California",33.9654863,-118.3090224,1,3
1/4/15,"3634 Shenandoah Ave NW, Roanoke, Virginia",37.2809703,-79.9984944,2,4
1/4/15,"2000 block of Ben Hur St., Dallas, Texas",32.6798829,-96.6110675,3,1
1/6/15,"1300 block of NW 62nd Street, Miami, Florida",25.831511,-80.218799,1,3
1/7/15,"773 West Main Street, Chattanooga, Tennessee",35.0403524,-85.318622,1,3
1/8/15,"104 Harrishof Street, Boston, Massachusetts",42.3166748,-71.0887313,1,3
1/9/15,"Laguna and Page streets, San Francisco, California",37.7736814,-122.42573,4,0
1/10/15,"4859 E Harry Street, Wichita, Kansas",37.664333,-97.27862,2,2
1/11/15,"1900 block of Gumberry Road, Hope Mills, North Carolina",34.9360428,-78.8653552,2,5
1/11/15,"7665 Chase Road, Lakeland, Florida",28.1393116,-81.9814443,1,3
1/11/15,"3840 Monterey Hwy, San Jose, California",37.2827119,-121.8390028,0,5
1/13/15,"4100 block of Portsmouth Boulevard, Portsmouth, Virginia",36.817872,-76.345502,0,5
1/13/15,"700 block of Oakley Avenue, Rockford, Illinois",42.2834847,-89.1148415,2,2
1/19/15,"1000 block of Gibbs St., San Antonio, Texas",29.4214918,-98.4608172,2,5
1/20/15,"321 Lansinger Lane, Clarksville, Tennessee",36.6135673,-87.4190475,1,3
1/23/15,"954 Parker Street, Boston, Massachusetts",42.3243929,-71.1010087,0,6
1/26/15,"1500 block of E. 9th Street, Stockton, California",37.9307095,-121.2654104,1,3
1/28/15,"1600 block of Panola Road, Dekalb County, Georgia",33.7445884,-84.1657257,1,3
1/31/15,"100 block of Woodstream Trail, Lagrange, Georgia",32.9781657,-85.1441957,4,0
2/1/15,"1217 West Fayette Street, Syracuse, New York",43.0469762,-76.1765567,0,6
2/1/15,"3345 Broadway, New York (Manhattan), New York",40.8204613,-73.9551772,1,4
2/6/15,"1219 N. Sheridan Road, Tulsa, Oklahoma",36.1719943,-95.9041024,1,4
2/7/15,"3640 Willow Tree Circle, Douglasville, Georgia",33.7140424,-84.6689264,5,2
2/8/15,"251 Dupree Rd, Friendship, Tennessee",35.8471024,-89.2348485,0,6
2/9/15,"9552 Adler Street, New Port Richey, Florida",28.296372,-82.617077,3,1
2/15/15,"200 block of W. 14th Street, Long Beach, California",33.7837108,-118.1937466,0,5
2/20/15,"1417 R Street, Sacramento, California",38.5700293,-121.4907329,0,4
2/22/15,"1706 Godman St., Killeen, Texas",31.1204726,-97.6828684,4,1
2/22/15,"281 Lower Pond Court, Clarkesville, Georgia",34.630979,-83.597945,3,2
2/22/15,"4224 Dorchester Road, Charleston, South Carolina",32.854165,-80.005438,0,4
2/23/15,"Sheridan Road, Daytona Beach, Florida",29.2084684,-81.0456287,0,4
2/25/15,"5022 Mallow St, Houston, Texas",29.6594822,-95.3476784,3,1
2/26/15,"18279 Highway H, Tyrone, Missouri",37.2004904,-91.8723152,8,1
2/28/15,"4300 block of Welbourne Road, Baltimore, Maryland",39.3434499,-76.58795,1,3
3/1/15,"4900 block of Steyr Street, Orange County, Florida",28.4520588,-81.4441252,0,4
3/1/15,"9855 Chalmers St, Detroit, Michigan",42.4119489,-82.9693369,1,5
3/4/15,"190 block of West Club Center Drive, San Bernardino, California",34.0604685,-117.2864741,2,5
3/7/15,"3140 Olive St, Saint Louis, Missouri",38.6353125,-90.2254638,0,4
3/8/15,"Wells Highway, Seneca, South Carolina",34.664203,-82.9269031,1,3
3/9/15,"200 block of West 105th, Chicago, Illinois",41.7024947,-87.6324871,1,3
3/10/15,"3023 Victory Drive, Columbus, Georgia",32.4376455,-84.9596543,0,5
3/13/15,"1097 South First St., Brookhaven, Mississippi",31.5592075,-90.4454255,2,3
3/14/15,"2900 block of Delmar Lane, Atlanta, Georgia",33.7549751,-84.4819599,0,5
3/14/15,"84000 block of Bagdad Avenue, Coachella, California",33.6745415,-116.1880023,0,4
3/15/15,"2700 block of West Alondra Boulevard, Compton, California",33.8862891,-118.2570808,0,4
3/17/15,"748 N Madison St, Stockton, California",37.959899,-121.2955369,3,4
3/18/15,"200 block of Clinton Place, Newark, New Jersey",40.715935,-74.2128912,1,3
3/18/15,"1504 West Main Street, Mesa, Arizona",33.4152344,-111.8634597,1,5
3/20/15,"1500 block of Reynolds Street, Lancaster, Texas",32.6115841,-96.789246,1,5
3/21/15,"1802 Seventh Ave, Tampa, Florida",27.960427,-82.4390452,0,4
3/22/15,"10140 Lomas NE, Albuquerque, New Mexico",35.0873232,-106.5348907,1,6
3/23/15,"900 block of Carpenter Street, Clarksville, Tennessee",36.5367213,-87.3487862,1,4
3/24/15,"3100 block of North Harding Street, Indianapolis, Indiana",39.8110142,-86.187091,4,0
3/26/15,"3100 block of Redwood, Amarillo, Texas",35.2446997,-101.8240903,0,4
3/27/15,"5312 Thomas Drive, Panama City Beach, Florida",30.143422,-85.755009,0,7
4/2/15,"1900 block of West Lanvale Street, Baltimore, Maryland",39.297752,-76.647594,0,5
4/5/15,"Dinwiddie Street, Pittsburgh, Pennsylvania",40.441178,-79.9805726,1,3
